-------------------------------------------------------------------------------------------------------

配号日期        证券代码        证券名称        起始配号                     配号数量        
20160707        300517          海波重科        起始配号:7709160             20              
20160713        300523          辰安科技        起始配号:11755794            20              
20160714        002806          华锋股份        起始配号:13013601            20              
20160715        300525          博思软件        起始配号:12528884            20              
20160718        736322          超讯配号        起始配号:100005869010        20              
20160719        736663          三祥配号        起始配号:100003898268        13              
20160720        741919          苏银配号        起始配号:100029112097        21              
20160721        300526          中潜股份        起始配号:6694351             14              
20160722        300529          健帆生物        起始配号:50640345            20              
20160725        300527          华舟应急        起始配号:16031112            20              
20160726        300528          幸福蓝海        起始配号:20282015            19              
20160727        791811          文轩配号        起始配号:100005766948        21              
20160727        300531          优博讯          起始配号:13311939            19              
20160728        741977          中影配号        起始配号:100077317889        22              
20160729        736569          长久配号        起始配号:100004689323        12              
20160729        300530          达志科技        起始配号:14016335            19              
