-------------------------------------------------------------------------------------------------------

配号日期        证券代码        证券名称        起始配号                     配号数量        
20160901        736067          振华配号        起始配号:100008931204        22              
20160901        300534          陇神戎发        起始配号:11808765            17              
20160902        736189          网达配号        起始配号:100014365137        22              
20160902        300541          先进数通        起始配号:23135762            20              
20160905        791500          通用配号        起始配号:100017690195        22              
20160905        300542          新晨科技        起始配号:16272213            17              
20160906        300536          农尚环境        起始配号:14628943            18              
20160914        736738          泰晶配号        起始配号:100004287506        16              
20160914        300545          联得装备        起始配号:11503532            19              
20160919        300546          雄帝科技        起始配号:15472913            19              
20160920        791128          常银配号        起始配号:100011035508        22              
20160920        300549          优德精密        起始配号:15042687            19              
20160921        736887          城地配号        起始配号:100004700908        9               
20160921        300547          川环科技        起始配号:14789443            19              
