-------------------------------------------------------------------------------------------------------

配号日期        证券代码        证券名称        起始配号                     配号数量        
20160504        736779          威龙配号        起始配号:100020222633        10              
20160505        736959          百利配号        起始配号:100004756010        10              
20160506        736339          四方配号        起始配号:100005302232        10              
20160516        002798          帝王洁具        起始配号:4699766             4               
20160519        002800          天顺股份        起始配号:135875835           4               
20160523        736737          三棵配号        起始配号:100015514471        10              
20160525        791611          核建配号        起始配号:100009849491        11              
20160526        736131          沪工配号        起始配号:100010155924        10              
20160527        002799          环球印务        起始配号:28214073            4               
20160531        791127          小康配号        起始配号:100004409542        11              
