-------------------------------------------------------------------------------------------------------

配号日期        证券代码        证券名称        起始配号                     配号数量        
20160901        736067          振华配号        起始配号:100008561069        15              
20160901        300534          陇神戎发        起始配号:11370792            5               
20160902        736189          网达配号        起始配号:100013846584        15              
20160902        300541          先进数通        起始配号:22348093            6               
20160905        791500          通用配号        起始配号:100016792030        15              
20160905        300542          新晨科技        起始配号:15516013            6               
20160906        300536          农尚环境        起始配号:13699502            6               
20160908        741908          锡银配号        起始配号:100013987445        15              
20160914        736738          泰晶配号        起始配号:100003902576        15              
20160914        300545          联得装备        起始配号:10703090            7               
20160919        300546          雄帝科技        起始配号:16389305            7               
20160920        791128          常银配号        起始配号:100011641286        15              
20160920        300549          优德精密        起始配号:15744921            7               
20160921        736887          城地配号        起始配号:100004489704        9               
20160921        300547          川环科技        起始配号:14211144            7               
